category,down_part,up_part,top_scroll,desc
4,俭可助廉,勤能补拙,,
4,俭以养廉,勤能补拙,,
4,学可医愚,勤能补拙,,
4,芳草迎春,庆云兆日,,
4,风传佳音,鹊送喜报,,
4,春和景明,人欢马叫,,
4,民富国强,人勤春好,,
4,鸟语辞寒,人心喜暖,,
4,五夜春来,三更猪去,,
4,五岳青松,三江春水,,
4,鸟语花香,山清水秀,,
4,礼义人家,诗书门第,,
4,心上春光,树头银花,,
4,做老实人,说真心话,,
4,五湖呈祥,四海生色,,
4,举步生风,抬头见喜,,
4,跃马争春,闻鸡起舞,,
4,四海欢腾,五星高照,,
4,志在为人,心存爱国,,
4,窗外红梅,心上美景,,
4,福寿即来,新春伊始,,
4,万里春光,一家瑞气,,
4,百业兴隆,一年肇始,,
4,两袖清风,一派正气,,
4,七巧良缘,一堂春色,,
4,阵势堂堂,英豪济济,,
4,虎跃龙腾,莺歌燕舞,,
4,欣欣向荣,蒸蒸日上,,
4,近悦远来,主欢客乐,,
4,台湾当归,祖国统一,,
4,太岁在寅,吉日唯戊,,
4,物我同春,门心皆水,,
4,金鸡报晓,丹凤来仪,,鸡年春联
4,鸡年纳福,猴岁呈祥,,鸡年春联
4,金凤迎春,神猴辞岁,,鸡年春联
4,大地回春,雄鸡唱韵,,鸡年春联
4,人杰地灵,藏龙卧虎,,龙年春联
4,绝胜鹏搏,况逢龙岁,,龙年春联
4,骏马迎春,小龙辞岁,,马年春联
4,五谷丰登,六畜兴旺,,农牧渔业
4,二气雍和,六畜兴旺,,农牧渔业
4,银蛇报春,金龙述职,,蛇年春联
4,燕语莺歌,龙飞蛇舞,,蛇年春联
4,子庶丰登,丙辉瑞应,,鼠年春联
4,子夜凯旋,丙名世德,,鼠年春联
4,子夜灯红,丙年春满,,鼠年春联
4,子夜钟鸣,丙年凤仪,,鼠年春联
4,子民腾欢,丙年兴旺,,鼠年春联
4,丙岁春温,子年人瑞,,鼠年春联
4,丙火兴隆,子年润泽,,鼠年春联
4,丙火辉煌,子孙奋发,,鼠年春联
4,丑时属牛,子夜为鼠,,鼠年春联
4,歌舞升平,发扬高雅,,戏院、影院、戏台
4,羊恋千山,马驰万里,,羊年春联
4,国富民丰,羊肥马壮,,羊年春联
4,岁纳永康,羊迎大吉,,羊年春联
4,岁岁平安,年年保险,,银行、保险公司
4,一室清辉,八方秀色,,
4,四方来财,八路进宝,,
4,大地流金,长空溢彩,,
4,江山映红,春风催绿,,
4,国步龙腾,春光骀荡,,
4,喜鹊登梅,春燕剪柳,,
4,花漫九州,春盈四海,,
4,平易近人,淡泊明志,,
4,春日载阳,东风解冻,,
4,鸟语花香,风和日丽,,
4,鸟语花香,风清日丽,,
4,万事亨通,福星高照,,
4,勇往直前,高歌猛进,,
4,人民安康,国家兴旺,,
4,政通人和,国强民富,,
4,天高鸟飞,海阔鱼跃,,
4,春意融融,红梅点点,,
4,喜爆放红,华灯飞彩,,
4,全民团结,举国安定,,
4,雨水情深,军民义重,,
4,为国为民,克勤克俭,,
4,月满春盈,龙飞凤舞,,
4,竹报三多,梅开五福,,
4,不恃己长,莫看人短,,
4,日过小康,年逢大有,,
4,岁月更新,山河似锦,,
4,岁月流金,山河溢彩,,
4,物阜民康,山欢水笑,,
4,地利人和,山青水秀,,
4,国泰民安,山青水秀,,
4,世纪更新,神州巨变,,
4,祖国腾飞,神州巨变,,
4,万里鹏程,十分春色,,
4,人寿年丰,时和世泰,,
4,春色满园,桃李争艳,,
4,春满京城,天增岁月,,
4,共赏百花,同奔四化,,
4,共奉一心,同奔四化,,
4,共绘鸿图,同创大业,,
4,共贺新春,同迎盛纪,,
4,实干兴邦,团结治国,,
4,四季呈祥,万方有吉,,
4,四海皆春,万民有庆,,
4,百族共中,万民有庆,,
4,四季平安,万事如意,,
4,四柱擎天,五星拔地,,
4,四化长兴,五星永耀,,
4,笑迎新春,喜辞旧岁,,
4,乐步锦程,喜登新纪,,
4,大业敢攀,小康在望,,
4,手绣三春,心存四化,,
4,喜庆新年,欣逢盛世,,
4,志展宏图,行臻康泰,,
4,伟业千秋,雄文五卷,,
4,龙有传人,业兴来者,,
4,四季平安,一帆风顺,,
4,同舟共荣,一国两制,,
4,百福骈臻,一元复始,,
4,万象更新,一元复始,,
4,除旧布新,移风易俗,,
4,除旧布新,迎春接福,,
4,道路康庄,云霞锦绣,,
4,立足本职,着眼四化,,
4,民志长生,自强不息,,
4,四海春新,九州日丽,,
4,喜气盈门,东风拂面,,
4,喜气盈门,东风入户,,
4,丽日舒怀,春风得意,,
4,炉火迎春,电灯守岁,,钢铁厂
4,马达迎春,钢花赛日,,钢铁厂
4,神犬驱邪,金鸡报晓,,狗年春联
4,放犬缉私,闻鸡起舞,,狗年春联
4,岁纳祯祥,猴扫妖氛,,猴年春联
4,鸟语迎春,猴桃献寿,,猴年春联
