category,down_part,up_part,top_scroll,desc
狗,神犬驱邪,金鸡报晓,,
狗,放犬缉私,闻鸡起舞,,
狗,义犬报民安,金鸡歌国泰,,
狗,黄犬送佳音,金鸡交好卷,,
狗,梅开如意春,犬守平安日,,
狗,狗年臻福祥,戍日耀吉瑞,,
狗,鸡鸣玉宇生辉,犬吠佞人丧胆,,
狗,犬年大展雄姿,舜犬重临华夏,,
狗,迎新瑞犬报年丰,辞旧灵鸡歌日丽,,
狗,莫为狗苟总偷安,当于鸡鸣常起舞,,
狗,人勤四季庆有余,狗护一门喜无恙,,
狗,鸡鸣犬吠报升平,国富民强缘改革,,
狗,犬岁发财户户欢,鸡年利事家家乐,,
狗,犬来大地报春意,鸡去瑶池传喜讯,,
狗,犬迹梅花瑞雪飞,鸡声笛韵祥云灿,,
狗,犬年更上一层楼,鸡岁已添几多喜,,
狗,犬因春到献梅花,鸡为岁归留竹叶,,
狗,狗跃山河瑞气生,鸡追日月雄风舞,,
狗,义犬迎春柳色新,金鸡报捷梅花俏,,
狗,玉犬呈祥展宏猷,金鸡献瑞钦郅治,,
狗,气搏云天奋犬年,龙翔华夏迎新岁,,
狗,莺歌燕舞日瞳瞳,犬吠鸡鸣春灿灿,,
狗,鸡题翠竹报三多,犬画红梅臻五福,,
狗,鸡鸣盛世处处春,犬效丰年家家富,,
狗,岁吉年祥狗看门,日新月异鸡报晓,,
狗,犬蹄朵朵报春花,瑞雪翩翩丰收景,,
狗,狗年兆丰五谷香,戍岁祝福万事顺,,
狗,酉鸡起舞庆荣归,戌犬腾欢迎胜利,,
狗,春风催吉犬迈开健步跃高峰,腊酒谢金鸡唱遍神州歌大有,,
猴,岁纳祯祥,猴扫妖氛,,
猴,鸟语迎春,猴桃献寿,,
猴,金猴献寿来,玉宇迎春至,,
猴,猴年气象新,世纪春光好,,
猴,万灵猴占先,百业农为本,,
猴,猴岁雪兆丰,申年梅献瑞,,
猴,猴岁望丰年,申时听瑞雪,,
猴,猴声啼水帘,鸟语喧花果,,
猴,猴啼挂水帘,鸟语喧花果,,
猴,猴吟锦绣春,羊舞丰收岁,,
猴,猴呈福寿春,羊舞丰收岁,,
猴,猴攀桃李枝,羊踏雪霜地,,
猴,猴腾锦绣云,羊跃康庄道,,
猴,猴跃艳阳天,羊辞冰雪地,,
猴,猴棒舞雄风,羊毫描特色,,
猴,猴棒鼓雄风,羊蹄踏锦绣,,
猴,猴报吉祥年,羊辞清淑景,,
猴,猴捧寿桃来,羊衔金穗去,,
猴,报国志凌云,迎春猴降世,,
猴,盛世显金猴,宏图开玉宇,,
猴,玉宇荡清风,金猴扶正气,,
猴,俊鸟又催春,金猴方启岁,,
猴,绿柳又催春,金猴方启岁,,
猴,紫燕舞新春,金猴开玉宇,,
猴,玉燕喜迎春,金猴欣献寿,,
猴,铁臂展宏图,金猴当大任,,
猴,瑞雪兆丰年,金猴临盛世,,
猴,华夏起宏图,金猴捧硕果,,
猴,玉宇蔚清明,金猴征腐恶,,
猴,禹甸展鸿猷,金猴扬正气,,
猴,经济舞神龙,金猴驱虎豹,,
猴,改革奋金猴,春风摇绿水,,
猴,玉宇赖金猴,春光辉特色,,
猴,金鲤戏春波,美猴腾瑞气,,
猴,赤鲤跃龙门,神猴翻筋斗,,
猴,盛世鉴千年,神猴变万象,,
猴,举国共迎春,群猴齐祝福,,
猴,大圣奋千钧,新春呈万象,,
猴,观海猴忘忧,攀山人长志,,
猴,猴翻万里云,旗展五星画,,
猴,猴正世风清,燕勤家业富,,
猴,爆竹增欢声,春花含笑意,喜气盈门,
猴,小康喜过蔚新春,大圣光临扬正气,,
猴,新风遍地倡文明,大圣迎春图改革,,
猴,小康正享万家欢,大圣重来寰宇净,,
猴,晓晨猴驾春风来,子夜羊随爆竹去,,
猴,春晓猴乘爆竹来,子时羊伴烟花去,,
猴,猴献蟠桃鹿献芝,天增岁月人增寿,,
猴,红梅绿柳报新春,火眼金晴开玉宇,,
猴,猴岁良宵乐纪元,丰年瑞雪宴华夏,,
猴,金猴棒大鼓雄风,玉羊毫多添文采,,
猴,金猴捧挑笑丰年,玉兔探月观新岁,,
猴,金猴降世笑丰年,玉兔出宫观盛世,,
猴,金猴捧果献华年,玉兔探头观美景,,
猴,金猴横扫害人虫,玉兔炼就长寿药,,
猴,金猴奋起国光新,玉宇清明春色好,,
猴,金猴奋起树新风,玉宇澄清浮正气,,
猴,大圣腾云降福来,玉羊捷足归栏去,,
猴,金猴降福福常存,玉燕迎春春永驻,,
猴,猴献蟠桃处处春,禾生嘉穗家家乐,,
猴,岁迎紫气送灵羊,民颂金猴澄玉宇,,
猴,猴持如意保平安,羊伴吉祥留喜庆,,
猴,猴王喜闹庆新春,羊角扶摇辞旧岁,,
猴,猴观岁首报春来,羊跃年终传捷去,,
猴,猴攀桃树祝新年,羊弄笛音奏妙曲,,
猴,猴捧仙桃半夜来,羊驮硕果五更去,,
猴,猴捧仙桃祝寿康,羊辞旧岁留祥瑞,,
猴,猴王振臂保平安,羊羯回头添如意,,
猴,猴腾紫气地生金,羊聚祥云天降玉,,
猴,猴岁迎春遍地春,羊年得福全家福,,
猴,猴展神威乐小康,羊留伟绩兆新运,,
猴,猴临大地万家春,羊隐神州千户富,,
猴,猴攀绿树步青云,羊逐金花驰碧野,,
猴,猴来踏露地生金,羊聚成云天降玉,,
猴,猴显神通颐华年,羊留喜气臻洪福,,
猴,猴生火眼识真金,羊裹银装知玉洁,,
猴,猴子腾云振国威,羊毫扎笔描春色,,
猴,猴岁又描锦绣图,羊毫已写辉煌史,,
猴,猴棒辟开万里程,羊毫点缀千秋业,,
猴,猴迎旭日耀新春,羊挟清风辞盛世,,
猴,猴持金捧送春来,羊舞烟花报捷去,,
猴,猴持金捧写春秋,羊捋银须夸改革,,
猴,猴捧仙桃入福门,羊衔玉穗登勤第,,
猴,举眸猴岁报平安,回首羊年呈喜庆,,
猴,热爱中华献赤诚,欢呼大圣除邪气,,
猴,伏蛰惊雷大地春,灵猴出世群情奋,,
猴,新岁益坚大圣心,阳春初览小康景,,
猴,喜鹊争鸣报福音,金猴奋起迎新纪,,
猴,紫燕翻飞大地春,金猴奋起神州乐,,
猴,绿柳迎春大地新,金猴携福人间驻,,
猴,紫燕黄莺弹妙音,金猴玉兔弄春色,,
猴,紫燕迎春生意隆,金猴献瑞财源广,,
猴,喜鹊登梅小院香,金猴献寿人民福,,
猴,赤子倾心建国忙,金猴得意迎春早,,
猴,祖国腾飞四海春,金猴奋起群山翠,,
猴,绿野走犁绣春光,金猴挥棒扶正气,,
猴,猴澄玉宇荡清风,春满神州多喜气,,
猴,猴年喜庆舞翩跹,春意盎然花烂漫,,
猴,金猴献岁岁华新,喜鹊鸣春春日丽,,
猴,乐看丹凤共朝阳,喜接金猴来献瑞,,
猴,春苑百花尽吐香,猴年万事皆如意,,
猴,瑞地禾苗绿似茵,猴山花果红如锦,,
猴,春至繁花遍地香,猴来佳果满山醉,,
猴,燕鸣翠柳报新春,猴捧仙桃祝大寿,,
猴,岁迁遍地春光明,猴喜满园桃李艳,,
猴,春临大地发千祥,猴献蟠桃祝万福,,
猴,燕舞阳春庆小康,猴观盛世开新宇,,
猴,楹前春帖向阳红,窗外嫩枝应候绿,,
猴,猴到人间万户春,雪消门外千山翠,,
猴,金猴献瑞国民殷,银树呈祥花果硕,,
猴,红梅翠柳报新春,紫气祥云腾大圣,,
猴,金猴攀援上春山,紫燕展翅腾柳浪,,
猴,金猴攀跃万年枝,紫燕翻飞千里景,,
猴,金猴跃跃步春晖,紫燕翩翩飞锦地,,
猴,迎春猴棒舞乾坤,辞岁羊毫书捷报,,
猴,两岸猿声报喜来,满园春色探墙外,,
猴,金猴欢跃报丰年,瑞雪纷飞迎盛世,,
猴,两岸猿声报喜来,满园春色关不住,,
猴,猴到人间万户春,雪消门外千山绿,,
猴,奋挥猴棒辟征程,紧握羊毫留青史,,
猴,岁迁遍地春光明,猴喜满园桃李艳,四海升平,
猴,猴到人间万户春,雪消门外千山绿,户纳千祥,
猴,金猴攀援上春山,紫燕展翅腾柳浪,喜迎新春,
猴,紫燕迎春生意隆,金猴献瑞财源广,欣欣向荣,
猴,奋挥猴棒辟征程,紧握羊毫留青史,大展宏图,
猴,猴王振臂保平安,羊羯回头添如意,人寿年丰,
猴,金猴献瑞国民殷,银树呈祥花果硕,繁荣昌盛,
猴,金猴棒大鼓雄风,玉羊毫多添文采,百业兴旺,
猴,席再腾飞世人歌,终迎胜利猴年赞,春满人间,
猴,迎新春六猴送安,辞旧岁三羊开泰,五福临门,
猴,猴节正气报新春,羊随新风辞旧岁,欣欣向荣,
猴,猴舞新春又呈祥,羊歌盛世方报捷,万事如意,
猴,猴挥金捧迎新春,羊献银毫书捷报,新年快乐,
猴,红桃贺岁杏迎春,丹凤呈祥龙献瑞,福满人间,
猴,春满乾坤福满门,天增岁月人增寿,四季长安,
猴,玉宇澄清万里埃,金猴奋起千钧棒,猴年大吉,
猴,红桃贺岁杏迎春,丹凤呈祥龙献瑞,,
猴,猴年增色换了人间,花果飘香美哉乐土,,
猴,喜鹊闹春事事吉祥,金猴献礼家家顺利,,
猴,金猴贺岁一国呈祥,玉燕嬉春九州铺锦,,
猴,盛世家兴万富民康宁,金猴棒奋千钧除腐败,,
猴,龙骧虎奋九州儿女创殊荣,镰运锤挥万古江山开盛世,,
猴,猴年来兮当发扬金猴精神,羊岁去矣应记取亡羊教训,,
